gene_id,gene_name,description
ENSMUSG00000000001,Gnai3,"guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]"
ENSMUSG00000000028,Cdc45,cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]
ENSMUSG00000000031,H19,"H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]"
ENSMUSG00000000037,Scml2,Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]
ENSMUSG00000000049,Apoh,apolipoprotein H [Source:MGI Symbol;Acc:MGI:88058]
ENSMUSG00000000056,Narf,nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]
ENSMUSG00000000058,Cav2,caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]
ENSMUSG00000000078,Klf6,Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]
ENSMUSG00000000085,Scmh1,sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]
ENSMUSG00000000088,Cox5a,cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]
ENSMUSG00000000093,Tbx2,T-box 2 [Source:MGI Symbol;Acc:MGI:98494]
ENSMUSG00000000094,Tbx4,T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
ENSMUSG00000000120,Ngfr,"nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]"
ENSMUSG00000000125,Wnt3,"wingless-type MMTV integration site family, member 3 [Source:MGI Symbol;Acc:MGI:98955]"
ENSMUSG00000000126,Wnt9a,"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]"
ENSMUSG00000000127,Fer,fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]
ENSMUSG00000000131,Xpo6,exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]
ENSMUSG00000000134,Tfe3,transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]
ENSMUSG00000000142,Axin2,axin 2 [Source:MGI Symbol;Acc:MGI:1270862]
ENSMUSG00000000148,Brat1,BRCA1-associated ATM activator 1 [Source:MGI Symbol;Acc:MGI:1891679]
ENSMUSG00000000149,Gna12,"guanine nucleotide binding protein, alpha 12 [Source:MGI Symbol;Acc:MGI:95767]"
ENSMUSG00000000154,Slc22a18,"solute carrier family 22 (organic cation transporter), member 18 [Source:MGI Symbol;Acc:MGI:1336884]"
ENSMUSG00000000159,Igsf5,"immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]"
ENSMUSG00000000167,Pih1d2,PIH1 domain containing 2 [Source:MGI Symbol;Acc:MGI:1919864]
ENSMUSG00000000168,Dlat,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex) [Source:MGI Symbol;Acc:MGI:2385311]
ENSMUSG00000000171,Sdhd,"succinate dehydrogenase complex, subunit D, integral membrane protein [Source:MGI Symbol;Acc:MGI:1914175]"
ENSMUSG00000000182,Fgf23,fibroblast growth factor 23 [Source:MGI Symbol;Acc:MGI:1891427]
ENSMUSG00000000183,Fgf6,fibroblast growth factor 6 [Source:MGI Symbol;Acc:MGI:95520]
ENSMUSG00000000184,Ccnd2,cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]
ENSMUSG00000000194,Gpr107,G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]
ENSMUSG00000000197,Nalcn,"sodium leak channel, non-selective [Source:MGI Symbol;Acc:MGI:2444306]"
ENSMUSG00000000202,Btbd17,BTB (POZ) domain containing 17 [Source:MGI Symbol;Acc:MGI:1919264]
ENSMUSG00000000204,Slfn4,schlafen 4 [Source:MGI Symbol;Acc:MGI:1329010]
ENSMUSG00000000214,Th,tyrosine hydroxylase [Source:MGI Symbol;Acc:MGI:98735]
ENSMUSG00000000216,Scnn1g,"sodium channel, nonvoltage-gated 1 gamma [Source:MGI Symbol;Acc:MGI:104695]"
ENSMUSG00000000223,Drp2,dystrophin related protein 2 [Source:MGI Symbol;Acc:MGI:107432]
ENSMUSG00000000244,Tspan32,tetraspanin 32 [Source:MGI Symbol;Acc:MGI:1350360]
ENSMUSG00000000247,Lhx2,LIM homeobox protein 2 [Source:MGI Symbol;Acc:MGI:96785]
ENSMUSG00000000248,Clec2g,"C-type lectin domain family 2, member g [Source:MGI Symbol;Acc:MGI:1918059]"
ENSMUSG00000000253,Gmpr,guanosine monophosphate reductase [Source:MGI Symbol;Acc:MGI:1913605]
ENSMUSG00000000263,Glra1,"glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]"
ENSMUSG00000000266,Mid2,midline 2 [Source:MGI Symbol;Acc:MGI:1344333]
ENSMUSG00000000275,Trim25,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]
ENSMUSG00000000276,Dgke,"diacylglycerol kinase, epsilon [Source:MGI Symbol;Acc:MGI:1889276]"
ENSMUSG00000000278,Scpep1,serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]
ENSMUSG00000000282,Mnt,max binding protein [Source:MGI Symbol;Acc:MGI:109150]
ENSMUSG00000000290,Itgb2,integrin beta 2 [Source:MGI Symbol;Acc:MGI:96611]
ENSMUSG00000000295,Hddc2,HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]
ENSMUSG00000000296,Tpd52l1,tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386]
ENSMUSG00000000301,Pemt,phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535]
ENSMUSG00000000303,Cdh1,cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]
ENSMUSG00000000305,Cdh4,cadherin 4 [Source:MGI Symbol;Acc:MGI:99218]
ENSMUSG00000000308,Ckmt1,"creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]"
ENSMUSG00000000317,Bcl6b,"B cell CLL/lymphoma 6, member B [Source:MGI Symbol;Acc:MGI:1278332]"
ENSMUSG00000000318,Clec10a,"C-type lectin domain family 10, member A [Source:MGI Symbol;Acc:MGI:96975]"
ENSMUSG00000000320,Alox12,arachidonate 12-lipoxygenase [Source:MGI Symbol;Acc:MGI:87998]
ENSMUSG00000000326,Comt,catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]
ENSMUSG00000000339,Rtca,RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]
ENSMUSG00000000340,Dbt,dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]
ENSMUSG00000000346,Dazap2,DAZ associated protein 2 [Source:MGI Symbol;Acc:MGI:1344344]
ENSMUSG00000000355,Mcts1,malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245]
ENSMUSG00000000359,Rem1,rad and gem related GTP binding protein 1 [Source:MGI Symbol;Acc:MGI:1097696]
ENSMUSG00000000365,Rnf17,ring finger protein 17 [Source:MGI Symbol;Acc:MGI:1353419]
ENSMUSG00000000374,Trappc10,trafficking protein particle complex 10 [Source:MGI Symbol;Acc:MGI:1336209]
ENSMUSG00000000378,Ccm2,cerebral cavernous malformation 2 [Source:MGI Symbol;Acc:MGI:2384924]
ENSMUSG00000000384,Tbrg4,transforming growth factor beta regulated gene 4 [Source:MGI Symbol;Acc:MGI:1100868]
ENSMUSG00000000385,Tmprss2,"transmembrane protease, serine 2 [Source:MGI Symbol;Acc:MGI:1354381]"
ENSMUSG00000000386,Mx1,MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243]
ENSMUSG00000000392,Fap,fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608]
ENSMUSG00000000399,Ndufa9,NADH:ubiquinone oxidoreductase subunit A9 [Source:MGI Symbol;Acc:MGI:1913358]
ENSMUSG00000000402,Egfl6,"EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]"
ENSMUSG00000000409,Lck,lymphocyte protein tyrosine kinase [Source:MGI Symbol;Acc:MGI:96756]
ENSMUSG00000000411,Tssk3,testis-specific serine kinase 3 [Source:MGI Symbol;Acc:MGI:1929914]
ENSMUSG00000000416,Cttnbp2,cortactin binding protein 2 [Source:MGI Symbol;Acc:MGI:1353467]
ENSMUSG00000000420,Galnt1,polypeptide N-acetylgalactosaminyltransferase 1 [Source:MGI Symbol;Acc:MGI:894693]
ENSMUSG00000000435,Myf5,myogenic factor 5 [Source:MGI Symbol;Acc:MGI:97252]
ENSMUSG00000000439,Mkrn2,"makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]"
ENSMUSG00000000440,Pparg,peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747]
ENSMUSG00000000441,Raf1,v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847]
ENSMUSG00000000486,Septin1,septin 1 [Source:MGI Symbol;Acc:MGI:1858916]
ENSMUSG00000000489,Pdgfb,"platelet derived growth factor, B polypeptide [Source:MGI Symbol;Acc:MGI:97528]"
ENSMUSG00000000530,Acvrl1,"activin A receptor, type II-like 1 [Source:MGI Symbol;Acc:MGI:1338946]"
